"Target","Source","Year","Weight"
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2008,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2009,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2010,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2012,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2013,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2014,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2015,6
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2016,12
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2017,17
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2018,12
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2019,12
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2020,18
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2021,7
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","AMERICAN STATISTICIAN",2020,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ANNALS OF APPLIED STATISTICS",2016,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ANNALS OF APPLIED STATISTICS",2021,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2019,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","BERNOULLI",2020,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","BIOMETRICS",2015,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","BIOMETRICS",2017,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","BIOMETRICS",2019,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","BIOMETRICS",2020,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","BIOMETRICS",2021,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","BIOMETRIKA",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2017,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2019,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2020,7
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",2021,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2011,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2012,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2014,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2015,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2017,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",2019,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS",2011,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS",2012,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS",2013,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS",2016,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS",2017,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS",2019,11
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS",2020,9
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2009,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2010,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2011,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2012,5
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2013,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2014,9
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2015,8
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2016,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2017,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2018,7
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2019,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2020,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2013,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2015,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2019,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2020,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","INTERNATIONAL STATISTICAL REVIEW",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","INTERNATIONAL STATISTICAL REVIEW",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","INTERNATIONAL STATISTICAL REVIEW",2019,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","INTERNATIONAL STATISTICAL REVIEW",2020,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2012,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2014,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2015,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2017,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2018,1
